task_id,priority,field_class,path,target_csv,current_source_category,current_value,required_source,acceptable_source_categories,current_papers_can_fill,note
LEGDATA-093,P0,marker_coordinates,legs[3].adams_equivalent_geometry.K_rocket_marker_xyz_m.x,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-094,P0,marker_coordinates,legs[3].adams_equivalent_geometry.K_rocket_marker_xyz_m.y,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-095,P0,marker_coordinates,legs[3].adams_equivalent_geometry.P_footpad_marker_xyz_m.x,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-096,P0,marker_coordinates,legs[3].adams_equivalent_geometry.P_footpad_marker_xyz_m.y,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-097,P0,marker_coordinates,legs[3].adams_equivalent_geometry.P_footpad_marker_xyz_m.z,marker_coordinates.csv,missing_required,,CAD/Adams marker export for B/T/K/P in a declared rocket body frame,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-098,P0,constraint_topology,legs[3].constraint_topology.B_joint_type,constraint_topology.csv,missing_required,,"Adams constraint graph, CAD mate definitions, or author topology table",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-099,P0,constraint_topology,legs[3].constraint_topology.T_joint_type,constraint_topology.csv,missing_required,,"Adams constraint graph, CAD mate definitions, or author topology table",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-100,P0,constraint_topology,legs[3].constraint_topology.K_joint_type,constraint_topology.csv,missing_required,,"Adams constraint graph, CAD mate definitions, or author topology table",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-101,P0,constraint_topology,legs[3].constraint_topology.P_joint_type,constraint_topology.csv,missing_required,,"Adams constraint graph, CAD mate definitions, or author topology table",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-102,P0,constraint_topology,legs[3].constraint_topology.absorber_slider_axis_xyz,constraint_topology.csv,missing_required,,"Adams constraint graph, CAD mate definitions, or author topology table",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-103,P0,constraint_topology,legs[3].constraint_topology.joint_limit_definitions,constraint_topology.csv,missing_required,,"Adams constraint graph, CAD mate definitions, or author topology table",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-104,P0,body_properties,legs[3].body_properties.main_strut.mass_kg,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-105,P0,body_properties,legs[3].body_properties.main_strut.com_xyz_m,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-106,P0,body_properties,legs[3].body_properties.main_strut.inertia_kg_m2,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-107,P0,body_properties,legs[3].body_properties.long_auxiliary_strut.mass_kg,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-108,P0,body_properties,legs[3].body_properties.long_auxiliary_strut.com_xyz_m,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-109,P0,body_properties,legs[3].body_properties.long_auxiliary_strut.inertia_kg_m2,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-110,P0,body_properties,legs[3].body_properties.short_auxiliary_strut.mass_kg,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-111,P0,body_properties,legs[3].body_properties.short_auxiliary_strut.com_xyz_m,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-112,P0,body_properties,legs[3].body_properties.short_auxiliary_strut.inertia_kg_m2,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-113,P0,body_properties,legs[3].body_properties.footpad.mass_kg,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-114,P0,body_properties,legs[3].body_properties.footpad.com_xyz_m,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-115,P0,body_properties,legs[3].body_properties.footpad.inertia_kg_m2,body_properties.csv,missing_required,,CAD mass-property export or validated component mass budget,cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-116,P1,buffer_lock,buffer_law.stroke_limit_m,buffer_lock.csv,missing_required,,"absorber hardware specification, force-law table, stroke/rebound data, and lock hardware data",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-117,P1,buffer_lock,buffer_law.extension_behavior,buffer_lock.csv,missing_required,,"absorber hardware specification, force-law table, stroke/rebound data, and lock hardware data",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-118,P1,buffer_lock,lock_hardware.mechanism_type,buffer_lock.csv,missing_required,,"absorber hardware specification, force-law table, stroke/rebound data, and lock hardware data",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-119,P1,buffer_lock,lock_hardware.trigger_logic,buffer_lock.csv,missing_required,,"absorber hardware specification, force-law table, stroke/rebound data, and lock hardware data",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
LEGDATA-120,P1,buffer_lock,lock_hardware.constraint_stiffness,buffer_lock.csv,missing_required,,"absorber hardware specification, force-law table, stroke/rebound data, and lock hardware data",cad_export;adams_export;author_data;measured;calibrated;paper;computed_from_source;engineering_data,False,Use a traceable non-synthetic source. Leave blank until real source data are available.
